name,address,city,zip
Pecan Lodge,2702 Main St,Dallas,75226
Torchy's Tacos,1407 N Greenville Ave,Dallas,75206
The Rustic,3656 Howell St,Dallas,75204
Meso Maya,1611 McKinney Ave,Dallas,75202
Uchi Dallas,2817 Maple Ave,Dallas,75201
